;;;It;Sal;Sp;Fr;Ptg;Ru;Lat;CIG;NTG;Gri;Grk;Got;OE;E;D;Nor;Blg;SC;Rus;Ir;Wel;Heb;Ar;Wo;Hu;Fin;Hi;Ba
1;gramm. person;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
2;gramm. number;+1;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
3;gramm. gender;+2;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;-
4;variable person on D;+1;-;-;+;-;-;-;?;+;?;-;+;?;?;-;-;-;-;-;-;?;?;-;+;-;-;-;-;+
5;feature spread to N;+2;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;-
6;numb. on N;+5;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;+;+;+;0
7;gramm. partial def;;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;-;-;-
8;gramm. def;+7;+;+;+;+;+;+;0;+;+;+;+;-;+;+;+;+;+;0;0;+;+;+;+;+;+;0;0;0
9;free null partitive Q;+6;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;+;-;0
10;gramm. dist. art;-5 or -6 or +7;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;+;-;0;0;+
11;gramm. top. art;-10;-;+;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;0;-;0;0;0
12;def checking N;+7;-;-;-;-;-;+;0;-;-;-;-;-;-;-;-;+;+;0;0;-;-;-;-;-;-;0;0;0
13;def spread to N;+12;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;+;-;0;0;0;0;0;0;0;0;0;0;0
14;def on attrib.;+7, -12;-;-;-;-;-;0;0;+;+;-;+;+;-;-;-;0;0;0;0;-;-;+;+;-;-;0;0;0
15;def on relatives;+7;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;+;+;-;0;0;0
16;D-controlled infl. on N;+5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;0;-;-;-;0
17;gramm. cardinal nouns;;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;?;+;+;?;+;+;+;?;-;+;-;-
18;gramm. cardinal adjectives;+17;0;0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;?;-;+;?;-;-;+;?;0;+;0;0
19;plural spread from cardinals;+5, -17 or +18;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;0;+;?;0;0;+;0;-;-;+;0
20;gramm. mass-to-count;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;+;-;+;-;-;-;-;-
21;N-to-predicate incorporation;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-
22;gramm. partial count;-5 or -6 or +7, -21;+;+;+;+;+;+;0;-;-;+;+;0;+;+;+;+;+;0;0;-;-;-;-;0;0;0;0;+
23;gramm count;+22;+;+;+;+;+;+;0;0;0;+;+;0;-;+;+;+;-;0;0;0;0;0;0;0;0;0;0;-
24;count checking N;+21 or +22;-;-;-;-;-;-;0;0;0;-;-;0;-;-;-;-;-;0;0;0;0;0;0;-;-;0;-;-
25;prepositional Gen;;+;+;+;+;+;-;-;-;-;-;-;-;-;+;+;+;+;-;-;+;+;+;+;-;-;-;-;-
26;free inflected Gen;-25;0;0;0;0;0;-;+;+;-;-;-;-;-;0;0;0;0;-;-;0;0;0;0;-;-;-;-;-
27;GenO;+25 or -26;-;-;-;-;-;-;0;0;+;+;+;+;+;-;+;?;-;+;+;+;+;-;-;+;-;+;+;+
28;GenS;+25 or -26;-;-;-;-;-;+;0;0;-;-;-;+;+;+;+;+;-;-;-;-;-;+;+;-;+;+;+;+
29;postpositional Gen;+27 or +28;0;0;0;0;0;-;0;0;-;-;-;-;-;+;-;+;0;-;-;-;-;-;-;-;-;-;+;+
30;Gen over DemP;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;?
31;poss checking N;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-
32;structured APs;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+
33;feature spread to structured APs;+32;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;?;+;+;0;-;+;+;-
34;feature spread to pred. AP;;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;?;+;+;+;+;+;+;+
35;numb. on A;+6, +33 or +34;+;+;+;0;+;+;+;+;+;+;+;+;+;0;+;+;+;+;+;+;?;+;+;0;+;+;+;0
36;D-controlled infl. on A;+33;-;-;-;-;-;-;-;-;-;-;-;+;+;0;+;+;-;-;-;-;?;-;-;0;0;-;-;0
37;DemP over relative;;+;+;+;+;+;+;?;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;-
38;free APs in Mod;+32;+;+;+;+;+;-;+;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;+;0;-;-;-;-
39;APs in Mod;-38;0;0;0;0;0;-;0;0;0;-;0;0;+;+;-;-;+;+;+;-;-;+;0;0;-;-;?;?
40;overt Modâ€™;-32 or +38 or +39;-;+;-;-;-;0;-;-;-;0;-;-;-;-;0;0;-;-;-;0;0;-;-;+;0;0;?;?
41;adjectival Gen;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;?;-
42;N-raising with pied-piping;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;+
43;N over ext. arg.;-42;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+;+;+;0;0;+;+;+;+;0
44;N over GenO;+26 or +27, +30, +43 ;0;0;0;0;0;0;-;-;+;+;+;+;+;0;+;0;0;+;+;+;+;0;0;+;0;-;0;0
45;N over As;+32, ( -26 or -27, +43 ) or +44;+;+;+;+;+;+;0;0;-;+;-;-;-;0;-;0;-;-;-;+;+;0;0;0;-;0;-;0
46;N over M2 As;+45;+;+;+;+;+;+;0;0;0;+;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0
47;N over M1 As;+46;-;+;-;-;-;-;0;0;0;?;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0
48;N over high As;+47;0;+;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0
49;N over cardinals;+42 or +48;0;-;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0;0;0;0;+;+;?;0;0;0;-
50;strong D (person);+1, +8 or +28;+;+;+;+;+;+;0;+;+;+;+;0;-;-;-;-;+;0;0;-;-;+;+;-;?;0;0;+
51;NP over D;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+
52;strong deixis;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+
53;strong anaphoricity;+51;+;+;-;+;+;-;-;-;-;+;-;-;+;+;+;+;-;+;+;0;0;?;-;+;+;+;+;+
54;DP over Dem;-51, +52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;+;?;0;-;-;-;0
55;D checking Dem;-5 or -6 or +7, +52;+;+;+;+;+;+;0;-;-;+;-;?;+;+;+;-;+;0;0;0;0;+;-;+;-;0;0;+
56;D-checking poss;-5 or -6 or +8, +50 or -28;-;-;+;+;?;-;0;-;-;-;-;0;0;0;0;0;-;0;0;+;0;-;-;+;?;0;0;-
57;feature spread on poss;+35 or +34 or +33;+;+;+;+;+;+;+;+;+;-;-;+;+;0;+;+;+;+;+;-;?;-;-;+;-;-;+;-
58;feature spread on postp. Gen;+29, +57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;+;0
59;enclitic possessives;;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;?;-;-;-;-;-;-;?;-;-;-;-
60;Consisten. Princ.;+51 or ( -44 or -45 or -46 or -47, +A-Compl ) ;+;0;+;+;+;+;?;?;?;?;-;?;+;+;+;+;-;-;-;0;0;0;0;?;+;+;0;+
61;null N-licensing art;-5 or -6 or -12, 50 or  +51;-;-;+;-;+;0;0;+;+;-;-;0;0;0;0;0;0;0;0;0;0;-;-;?;?;0;0;+
62;obl.def.inh.;+7, -22, ( -25, +26 )  or +27, +42 or +45 or -50;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;-;+;+;+;-;0;0;0;0
63;gramm. geogr. art.;-5 or -6 or +7, -22 or -23 or +45;+;+;-;+;-;+;0;+;+;+;0;0;0;0;0;0;-;0;0;?;?;-;-;0;-;0;0;-